bioguide,thomas,govtrack,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
C001084,'02055',412470,RepCicilline,CongressmanDavidCicilline,UC3sCl46o8hYP69LnidNltuw,462143773,RepDavidCicilline,,
C001080,'01970',412379,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,193732179,RepJudyChu,,
C001078,'01959',412272,GerryConnolly,CongressmanGerryConnolly,UC4WG9PlmoOeSLIuyVjs-RSA,78445977,repconnolly,,
C001072,'01889',412258,RepAndreCarson,CongressmanAndreCarson,UCprUnnEgM2VUGmAKSaZXCSw,199325935,repandrecarson,repandrecarson,
C001070,'01828',412246,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,171598736,SenatorBobCasey,senbobcasey,
C001069,'01836',412193,RepJoeCourtney,joecourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,85396297,repcourtney,repjoecourtney,
C001068,'01878',412236,RepCohen,CongressmanSteveCohen,UC_NJlnsOBjOameUwZk0rvsA,162069635,repcohen,,
C001067,'01864',412221,RepYvetteClarke,repyvettedclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,240812994,repyvetteclarke,repyvettedclarke,
C001063,'01807',400657,RepCuellar,'152569121550',UCVgEOdJx3tyILO9EjZ-heEQ,210926192,henrycuellar,,
C001062,'01805',400655,ConawayTX11,mike.conaway,UCR3dhwhVfxmmqv6ct2Xa1-g,295685416,mikeconaway11,mikeconawaytx11,
C001061,'01790',400639,RepCleaver,emanuelcleaverii,UCVC-7CLFjXczoihr5FxDLsw,163570705,repcleaver,,
C001059,'01774',400618,RepJimCosta,RepJimCosta,UCVgXX23eJEai6GiBOKO6dvA,245451804,RepJimCostaCA20,,
C001056,'01692',300027,JohnCornyn,sen.johncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,13218102,senjohncornyn,,
C001053,'01742',400077,TomColeOK04,TomColeOK04,UCvqzPm_YnNkfEHpm3SEMJMQ,23124635,reptomcole,TomColeOK04,
C001051,'01752',400068,JudgeCarter,judgecarter,UC9pkaOrhPfouzkJ8oAdI-1w,18030431,repjohncarter,judgecarter,456560563
C001049,'01654',400074,,'109135405838588',UCB3yVQzlxhx3brOwaWtiXoQ,,WilliamLacyClay,,
C001047,'01676',400061,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw,193794406,,sencapito,1640447624
C001035,'01541',300025,SenatorCollins,susancollins,UC6GYaBx5kT2r4PN8KENxC-w,19726613,SenatorSusanCollins,sensusancollins,
C000880,'00250',300030,MikeCrapo,mikecrapo,UCMHzKHg1BE7dEcFjnayw1lA,600463589,senatorcrapo,mikecrapo,329357214
C000754,'00231',400081,RepJimCooper,JimCooper,UCjplyIIQbNZcl013AyDfPNg,22523087,RepJimCooper,repjimcooper,1037212884
C000537,'00208',400075,WhipClyburn,jameseclyburn,UCIyU_UA_JEa14gvAwhquKqg,188019606,repjamesclyburn,,
C000266,'00186',400071,RepSteveChabot,RepSteveChabot,UCJpzm2DZDE1B6ruQLQc7q4g,237750442,congressmanchabot,repstevechabot,481906395
